#processed
id;ligne;direction;delaipassage
47331;93;Parc Technologique;2 min
47333;93;Parc Technologique;4 min
47478;93;Parc Technologique;7 min
46181;93;Parc Technologique;8 min
43915;93;Parc Technologique;9 min
11949;93;Parc Technologique;10 min
2786;93;Parc Technologique;12 min
3316;93;Parc Technologique;14 min
40035;93;Parc Technologique;16 min
50060;93;Parc Technologique;18 min
39974;93;Parc Technologique;23 min
1320;93;Parc Technologique;24 min
46269;93;Parc Technologique;27 min
11335;93;Parc Technologique;29 min
43014;93;Parc Technologique;33 min
43715;93;Parc Technologique;36 min
43754;93;Parc Technologique;37 min
43018;93;Parc Technologique;38 min
44978;93;Parc Technologique;40 min
497;93;Parc Technologique;41 min
43021;93;Parc Technologique;43 min
64;93;Parc Technologique;44 min
43025;93;Parc Technologique;45 min
43027;93;Parc Technologique;46 min
43029;93;Parc Technologique;47 min
46182;93;Parc Technologique;Proche
46735;27;Cordeliers;Proche
599;27;Cordeliers;4 min
2332;C14;Les Sources;Proche
44819;C14;Les Sources;1 min
1108;C14;Les Sources;2 min
2519;C14;Les Sources;3 min
2531;C14;Les Sources;5 min
3034;C14;Les Sources;7 min
11389;C14;Les Sources;9 min
12180;C14;Les Sources;11 min
1012;C14;Les Sources;13 min
30016;C14;Les Sources;14 min
47568;C14;Les Sources;16 min
772;C14;Les Sources;18 min
30390;C14;Les Sources;21 min
50402;C14;Les Sources;22 min
36894;C14;Les Sources;23 min
778;C14;Les Sources;24 min
764;C14;Les Sources;25 min
771;C14;Les Sources;26 min
47566;C14;Les Sources;27 min
2073;C14;Les Sources;29 min
1763;C14;Les Sources;30 min
47781;C14;Les Sources;31 min
2450;40;Bellecour St Exupéry;Proche
48376;40;Bellecour St Exupéry;Proche
35665;T3;Gare Part-Dieu Villette;8 min
35663;T3;Gare Part-Dieu Villette;9 min
35661;T3;Gare Part-Dieu Villette;12 min
45848;T3;Gare Part-Dieu Villette;16 min
48359;T3;Gare Part-Dieu Villette;1 min
35669;T3;Gare Part-Dieu Villette;3 min
35667;T3;Gare Part-Dieu Villette;5 min
36095;85;Meyzieu Lycée Beltrame;46 min
44381;85;Meyzieu Lycée Beltrame;56 min
41014;85;Meyzieu Lycée Beltrame;57 min
48333;85;Meyzieu Lycée Beltrame;58 min
47404;85;Meyzieu Lycée Beltrame;59 min
37903;85;Meyzieu Lycée Beltrame;10h39
46872;85;Meyzieu Lycée Beltrame;10h40
1971;85;Meyzieu Lycée Beltrame;10h41
1977;85;Meyzieu Lycée Beltrame;10h42
48191;85;Meyzieu Lycée Beltrame;10h43
1223;85;Meyzieu Lycée Beltrame;10h44
36175;85;Meyzieu Lycée Beltrame;47 min
1572;85;Meyzieu Lycée Beltrame;10h45
43640;85;Meyzieu Lycée Beltrame;10h47
10401;85;Meyzieu Lycée Beltrame;10h48
1968;85;Meyzieu Lycée Beltrame;10h49
34150;85;Meyzieu Lycée Beltrame;10h50
1967;85;Meyzieu Lycée Beltrame;10h52
30036;85;Meyzieu Lycée Beltrame;10h54
48301;85;Meyzieu Lycée Beltrame;10h57
46908;85;Meyzieu Lycée Beltrame;48 min
46659;85;Meyzieu Lycée Beltrame;49 min
46661;85;Meyzieu Lycée Beltrame;50 min
10405;85;Meyzieu Lycée Beltrame;51 min
11232;85;Meyzieu Lycée Beltrame;52 min
41020;85;Meyzieu Lycée Beltrame;53 min
41016;85;Meyzieu Lycée Beltrame;54 min
1087;C8;Vaulx - Résistance;51 min
36874;C8;Vaulx - Résistance;10h39
35974;C8;Vaulx - Résistance;10h40
35980;C8;Vaulx - Résistance;10h41
42538;C8;Vaulx - Résistance;10h48
10176;C8;Vaulx - Résistance;10h50
2110;C8;Vaulx - Résistance;10h52
