gid;ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;couleur;couleur_hex;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme
902;265;265101 CLAVEISOLLES >> VILLEFRANCHE SUR SAÔNE;2006;;265101 CLAVEISOLLES >> VILLEFRANCHE SUR SAÔNE;;;;;;BUS;229 0 125;#E5007D;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.237943+02:00
903;265;265201 VILLEFRANCHE SUR SAÔNE >> CLAVEISOLLES;2006;;265201 VILLEFRANCHE SUR SAÔNE >> CLAVEISOLLES;;;;;;BUS;229 0 125;#E5007D;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.237954+02:00
5;10E;10E-2;10E;EXP;Porte de Lyon - Gare de Vaise;Retour;11147;10487;Porte de Lyon;Gare de Vaise-G.Collomb;BUS;91 147 242;#5B93F2;20200416;;REG;Régulière;True; 10E;Semaine 24 - 2026;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.685285+02:00
44;C201;C201-1;C201;NOM;Colombier Saugnieu Les Salines - Grange Blanche;Aller;34351;10524;Colombier-Saugn. Salines;Grange Blanche;BUS;11 69 19;#0B4513;20180101;;REG;Régulière;False;C201;Semaine 24 - 2026;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.685747+02:00
1839;C5;C5-1;C5;NOM;Jean Mace - Rillieux Osterode;Aller;10593;34627;Jean Macé;Rillieux Ostérode;BUS;149 75 52;#954B34;20250623;;REG;Régulière;False;C  5;Semaine 24 - 2026;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.685617+02:00
6;10E;10E-1;10E;EXP;Gare de Vaise - Porte de Lyon;Aller;10487;11147;Gare de Vaise-G.Collomb;Porte de Lyon;BUS;91 147 242;#5B93F2;20200416;;REG;Régulière;True; 10E;Semaine 24 - 2026;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.685296+02:00
7;52E;52E-1;52E;EXP;Vaulx-en-Velin La Soie - Bron Droits de l'Homme;Aller;31760;11674;Vaulx-en-Velin La Soie;Bron Droits de l'Homme;BUS;255 229 0;#FFE500;20231106;;REG;Régulière;False; 52E;Semaine 24 - 2026;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.685307+02:00
8;52E;52E-2;52E;EXP;Bron Droits de l'Homme - Vaulx-en-Velin La Soie;Retour;11674;31760;Bron Droits de l'Homme;Vaulx-en-Velin La Soie;BUS;255 229 0;#FFE500;20231106;;REG;Régulière;False; 52E;Semaine 24 - 2026;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.685318+02:00
81;17;17-2;17;NOR;St Genis 2 - Gare d'Oullins;Retour;11302;34269;St Genis 2;Gare d'Oullins;BUS;229 40 43;#E5282B;20231021;;REG;Régulière;False;  17;Semaine 24 - 2026;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.686136+02:00
80;17;17-16;17;MAR;Vourles ZA Les Plattes - Gare d'Oullins;Retour;34657;34269;Vourles ZA Les Plattes;Gare d'Oullins;BUS;229 40 43;#E5282B;20260217;;REG;Régulière;False;  17;Semaine 24 - 2026;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.686168+02:00
