gid;ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;couleur;couleur_hex;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme
1;C;C-2;C;NOM;Cuire - Hôtel de Ville  Louis Pradel;Retour;30036;30021;Cuire;Hôtel de Ville L.Pradel;MET;248 150 29;#F8961D;20180101;;REG;Régulière;True;C;ADOF 2025;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.685110+02:00
2;C;C-1;C;NOM;Hôtel de Ville  Louis Pradel - Cuire;Aller;30021;30036;Hôtel de Ville L.Pradel;Cuire;MET;248 150 29;#F8961D;20180101;;REG;Régulière;True;C;ADOF 2025;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.685248+02:00
369;D;D-1;D;NOM;Gare de Vaise - Gare de Vénissieux;Aller;30052;30175;Gare de Vaise-G.Collomb;Gare de Vénissieux;MET;0 158 61;#009E3D;20180101;;REG;Régulière;True;D;Semaine 09 - 2026 V2;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.689320+02:00
370;F1;F1-2;F1;NOM;Saint-Just - Vieux Lyon;Retour;30054;30049;St Just;Vieux Lyon Cat.St Jean;FUN;149 194 61;#95C23D;20180101;;REG;Régulière;True;F  1;Semaine 09 - 2026 V2;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.689341+02:00
364;A;A-1;A;NOM;Perrache - Vaulx-en-Velin La Soie;Aller;30017;31750;Perrache.;Vaulx-en-Velin La Soie;MET;232 48 138;#E8308A;20180101;;REG;Régulière;True;A;Semaine 09 - 2026 V2;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.689265+02:00
365;A;A-2;A;NOM;Vaulx-en-Velin La Soie - Perrache;Retour;31770;30178;Vaulx-en-Velin La Soie.;Perrache;MET;232 48 138;#E8308A;20180101;;REG;Régulière;True;A;Semaine 09 - 2026 V2;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.689276+02:00
371;F1;F1-1;F1;NOM;Vieux Lyon - Saint-Just;Aller;30049;30054;Vieux Lyon Cat.St Jean;St Just;FUN;149 194 61;#95C23D;20180101;;REG;Régulière;True;F  1;Semaine 09 - 2026 V2;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.689331+02:00
372;F2;F2-1;F2;NOM;Vieux Lyon - Fourviere;Aller;30049;30055;Vieux Lyon Cat.St Jean;Fourvière Basilique;FUN;149 194 61;#95C23D;20180101;;REG;Régulière;True;F  2;Semaine 09 - 2026 V2;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.689363+02:00
367;B;B-4;B;NOM;ST-GENIS-LAVAL Hop. Sud. - Charpennes Charles Hernu .;Retour;34665;30024;St-Genis-Laval Hôp. Sud.;Charpennes Charles Hernu .;MET;0 117 191;#0075BF;20201023;;REG;Régulière;True;B;Semaine 09 - 2026 V2;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.689287+02:00
366;B;B-3;B;NOM;Charpennes Charles Hernu . - ST-GENIS-LAVAL Hop. Sud;Aller;30024;34664;Charpennes Charles Hernu .;St-Genis-Laval Hôp. Sud;MET;0 117 191;#0075BF;20201023;;REG;Régulière;True;B;Semaine 09 - 2026 V2;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.689298+02:00
373;F2;F2-2;F2;NOM;Fourviere - Vieux Lyon;Retour;30055;30049;Fourvière Basilique;Vieux Lyon Cat.St Jean;FUN;149 194 61;#95C23D;20180101;;REG;Régulière;True;F  2;Semaine 09 - 2026 V2;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.689352+02:00
368;D;D-2;D;NOM;Gare de Vénissieux - Gare de Vaise;Retour;31820;31834;Gare de Vénissieux.;Gare de Vaise-GCollomb;MET;0 158 61;#009E3D;20180101;;REG;Régulière;True;D;Semaine 09 - 2026 V2;2026-06-12 01:38:00+02:00;2026-06-12 07:05:45.689309+02:00
